type,juri,role,situation,sop,filename
1033,AB,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",AB - 1033 - Officer in trouble.docx
1033,AB,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",AB - 1033 - Officer in trouble.docx
1033,AB,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],AB - 1033 - Officer in trouble.docx
1033,BI,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",BI - 1033 - Officer in trouble.docx
1033,BI,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",BI - 1033 - Officer in trouble.docx
1033,BI,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],BI - 1033 - Officer in trouble.docx
1033,BU,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",BU - 1033 - Officer in trouble.docx
1033,BU,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",BU - 1033 - Officer in trouble.docx
1033,BU,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],BU - 1033 - Officer in trouble.docx
1033,DE,call taker,,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",DE - 1033 - Officer in trouble.docx
1033,DE,call taker,CBSA alarm policy,"['Listen to alarm', 'Acknowledge the alarm by pressing 911 on the telephone', 'Create a call at 4 56 Street']",DE - 1033 - Officer in trouble.docx
1033,DE,dispatcher,,"['Activate the channel marker tone', 'Broadcast the unit call sign and 10-33 at the location provided', 'Attempt to contact the unit/member in question, if the unit ID is not known call the unit at the location given', 'If voice contact is made with the unit, determine their status', 'If voice contact is not made repeat attempt to contact the unit/member', 'Create a call', 'Assign a member', 'Notify the Duty NCO / Watch Commander', 'Assign additional cover units until otherwise advised', 'Await direction from field supervisor to remove the channel marker tone']",DE - 1033 - Officer in trouble.docx
1033,DE,dispatcher,1033 activations by member over the radio,['Refer to Instructions – Emergency Key Activations'],DE - 1033 - Officer in trouble.docx
