type,juri,role,sop,filename,topic_id
1033,AB,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",AB - 1033 - Officer in trouble.docx,7
1033,BI,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",BI - 1033 - Officer in trouble.docx,7
1033,BU,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",BU - 1033 - Officer in trouble.docx,7
1033,DE,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?', 'CBSA alarm policy', 'Listen to alarm ', 'Acknowledge the alarm by pressing 911 on the telephone', 'Create a call at 4 56 Street']",DE - 1033 - Officer in trouble.docx,7
1033,DFPF,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",DFPF - 1033 - Officer in trouble.docx,7
1033,NW,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",NW - 1033 - Officer in trouble.docx,7
1033,PO,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",PO - 1033 - Officer in trouble.docx,7
1033,RI,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",RI - 1033 - Officer in trouble.docx,7
1033,RM,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",RM - 1033 - Officer in trouble.docx,7
1033,SC,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",SC - 1033 - Officer in trouble.docx,7
1033,SQ,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",SQ - 1033 - Officer in trouble.docx,7
1033,SX,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",SX - 1033 - Officer in trouble.docx,7
1033,UN,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",UN - 1033 - Officer in trouble.docx,7
1033,VA,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",VA - 1033 - Officer in trouble.docx,7
1033,WP,call taker,"['Create a call', 'Questions', 'Are there weapons involved?', 'What is the exact location, i.e. backyard, alley?', 'Is the member in uniform or plain clothes?', 'Are there other members at the scene?', 'Can you see a police vehicle? If so, where? What type of vehicle (i.e. marked / unmarked)? Is there a vehicle identification number visible?']",WP - 1033 - Officer in trouble.docx,7
